name cost type damage health special
BloodfenRaptor 2 Normal 3 2 none
BoulderfistOgre 6 Normal 6 7 none
MagmaRager 3 Normal 5 1 none
MurlocRaider 1 Normal 2 1 none
OasisSnapjaw 4 Normal 2 7 none
ReckLessRocketeer 6 Charge 5 2 none
SenjinShieldMaster 4 Taunt 3 5 none
Wolfrider 3 Charge 3 1 none
AnnoyOTron 2 Taunt 1 2 none
Archmage 6 Normal 4 7 none
FaerieDragon 2 Normal 3 2 none
GnomishInventor 4 Normal 2 4 none
Killer13 5 Taunt 3 4 none
Killer14 5 Normal 7 2 none
Killer15 5 Normal 2 4 none
Killer16 5 Taunt 2 4 none
Killer17 5 Charge 6 1 none
Killer18 5 Normal 4 4 none
Killer19 5 Normal 6 4 none
Killer20 5 Taunt 3 4 none
